SXB|BRU,|SXB|
SXB|OUA,|SXB|
SXB|JED,|SXB|
SXB|CPH,|SXB|
SXB|YYZ,|SXB|
SXB|DEN,|SXB|
SXB|YUL,|SXB|
SXB|NBO,|SXB|
SXB|ICN,|SXB|
SXB|NRT,|SXB|
SXB|YHZ,|SXB|
SXB|YOW,|SXB|
SXB|BJM,|SXB|
SXB|COO,|SXB|
SXB|DKR,|SXB|
SXB|DLA,|SXB|
SXB|KGL,|SXB|
SXB|LAD,|SXB|
SXB|ABJ,|SXB|
SXB|AMS,|SXB|
SXB|OSL,|SXB|
SXB|VNO,|SXB|
SXB|WAW,|SXB|
SXB|YYC,|SXB|
SXB|ATL,|SXB|
SXB|MSY,|SXB|
SXB|YEG,|SXB|
SXB|YMM,|SXB|
SXB|YQR,|SXB|
SXB|YVR,|SXB|
SXB|YWG,|SXB|
SXB|YXE,|SXB|
SXB|CKY,|SXB|
SXB|FIH,|SXB|
SXB|SCL,|SXB|
SXB|LCA,|SXB|
SXB|NAP,|SXB|
SXB|VLC,|SXB|
SXB|BKK,|SXB|
SXB|ADD,|SXB|
SXB|FRA,|SXB|
SXB|IST,|SXB|
SXB|EBB,|SXB|
SXB|YLW,|SXB|
SXB|YYT,|SXB|
SXB|GUA,|SXB|
SXB|EWR,|SXB|
SXB|IAD,|SXB|
SXB|IAH,|SXB|
SXB|ORD,|SXB|
SXB|SOF,|SXB|
SXB|YQB,|SXB|
SXB|YXU,|SXB|
SXB|EZE,|SXB|
SXB|YYJ,|SXB|
SXB|YYY,|SXB|
SXB|YQQ,|SXB|
SXB|YYR,|SXB|
SXB|LHR,|SXB|
SXB|SFO,|SXB|
SXB|YQU,|SXB|
SXB|YZF,|SXB|
SXB|YGR,|SXB|
SXB|YGP,|SXB|
SXB|BOS,|SXB|
SXB|YDF,|SXB|
SXB|YFC,|SXB|
SXB|YQM,|SXB|
SXB|YQX,|SXB|
SXB|YQY,|SXB|
SXB|YSJ,|SXB|
SXB|YYG,|SXB|
SXB|LAX,|SXB|
SXB|DCA,|SXB|
SXB|LGA,|SXB|
SXB|YZV,|SXB|
SXB|YWL,|SXB|
SXB|AZS,|SXB|
SXB|BDL,|SXB|
SXB|CCC,|SXB|
SXB|CDG,|SXB|
SXB|CUN,|SXB|
SXB|CZM,|SXB|
SXB|FDF,|SXB|
SXB|FLL,|SXB|
SXB|GVA,|SXB|
SXB|HOG,|SXB|
SXB|LAS,|SXB|
SXB|MBJ,|SXB|
SXB|MCO,|SXB|
SXB|MUC,|SXB|
SXB|PAP,|SXB|
SXB|PTP,|SXB|
SXB|PUJ,|SXB|
SXB|SNU,|SXB|
SXB|VRA,|SXB|
SXB|YBC,|SXB|
SXB|YBG,|SXB|
SXB|YTZ,|SXB|
SXB|YUY,|SXB|
SXB|YVO,|SXB|
SXB|ZBF,|SXB|
SXB|ZRH,|SXB|
SXB|ZSA,|SXB|
SXB|AKL,|SXB|
SXB|HKG,|SXB|
SXB|HND,|SXB|
SXB|HNL,|SXB|
SXB|MEX,|SXB|
SXB|OGG,|SXB|
SXB|PDX,|SXB|
SXB|PEK,|SXB|
SXB|PVG,|SXB|
SXB|PVR,|SXB|
SXB|SEA,|SXB|
SXB|SYD,|SXB|
SXB|YBL,|SXB|
SXB|YCD,|SXB|
SXB|YCG,|SXB|
SXB|YKA,|SXB|
SXB|YPR,|SXB|
SXB|YQZ,|SXB|
SXB|YXC,|SXB|
SXB|YXJ,|SXB|
SXB|YXS,|SXB|
SXB|YXT,|SXB|
SXB|YXY,|SXB|
SXB|YYD,|SXB|
SXB|YYF,|SXB|
SXB|YZP,|SXB|
SXB|YQT,|SXB|
